site,tree,lat,year,Date,DD,Growth,Survival,Live
1,1,40.38063486,1970,115.4956425,160.5702556,61.36851638,0.999623812,1
1,2,40.38063486,1970,118.4958749,158.9895738,43.77181679,0.843352091,1
1,3,40.38063486,1970,115.8835617,159.9262452,44.74662769,0.944110953,1
1,4,40.38063486,1970,110.9889279,161.1282231,48.20003518,0.956852453,1
1,5,40.38063486,1970,120.9945726,157.3778133,50.02237045,0.97595841,1
1,1,40.38063486,1972,114.2314997,160.6120412,56.2961455,0.998339767,1
1,2,40.38063486,1972,119.7772504,158.1330015,48.71037979,0.958676275,1
1,3,40.38063486,1972,116.1215456,158.9122406,44.1553879,0.928343272,1
1,4,40.38063486,1972,111.4207098,159.9621933,53.43290844,0.990836772,1
1,5,40.38063486,1972,120.5927602,157.5725972,54.92710104,0.994707185,1
1,1,40.38063486,1974,115.0615594,162.9251847,53.47644998,0.996275169,1
1,2,40.38063486,1974,116.7454389,159.3463572,43.65163035,0.819913063,1
1,3,40.38063486,1974,113.1617649,163.1953516,47.3726807,0.971091526,1
1,4,40.38063486,1974,110.295478,163.3228903,49.96545725,0.974645255,1
1,5,40.38063486,1974,120.4636899,159.192982,54.03256957,0.992545517,1
1,1,40.38063486,1976,114.5575478,162.1060161,60.3156985,0.99947842,1
1,2,40.38063486,1976,118.4583222,161.1351366,48.54509174,0.953610528,1
1,3,40.38063486,1976,112.8056218,164.6781551,39.90871378,0.798260507,1
1,4,40.38063486,1976,112.0856298,160.8859534,53.90637974,0.990229404,1
1,5,40.38063486,1976,119.3642548,160.4238044,51.89964654,0.986536343,1
1,1,40.38063486,1978,114.185612,162.9376556,57.59182198,0.998843647,1
1,2,40.38063486,1978,116.5981938,162.9528291,42.49263601,0.756961794,0
1,3,40.38063486,1978,115.0993659,164.6809444,45.40971954,0.949203691,1
1,4,40.38063486,1978,113.2096835,161.923143,49.33374242,0.968748855,1
1,5,40.38063486,1978,118.0558278,161.5321934,56.16042387,0.995964232,1
1,1,40.38063486,1980,113.6419619,164.9825114,54.52984963,0.997734664,1
1,2,40.38063486,1980,NA,NA,NA,0.727964993,0
1,3,40.38063486,1980,114.1784211,163.5511963,38.96597067,0.716582642,1
1,4,40.38063486,1980,109.5994397,164.4658083,49.70070721,0.97224899,1
1,5,40.38063486,1980,116.6278951,164.7597361,53.42043735,0.993305656,0
1,1,40.38063486,1982,114.9222387,163.8489541,56.62314676,0.998425392,1
1,2,40.38063486,1982,NA,NA,NA,0.858276799,0
1,3,40.38063486,1982,113.1558529,162.7767013,39.67350196,0.801735383,1
1,4,40.38063486,1982,108.527486,165.2508464,48.82728384,0.966058189,1
1,5,40.38063486,1982,NA,NA,NA,0.983863155,0
1,1,40.38063486,1984,114.328076,164.7782214,57.9585196,0.999110055,1
1,2,40.38063486,1984,NA,NA,NA,0.94144262,0
1,3,40.38063486,1984,110.7582547,166.4353648,37.96508964,0.723708482,1
1,4,40.38063486,1984,111.5980294,163.4991602,52.26506327,0.986715898,1
1,5,40.38063486,1984,NA,NA,NA,0.992949093,0
1,1,40.38063486,1986,110.7743731,169.3723497,54.88439577,0.997118756,1
1,2,40.38063486,1986,NA,NA,NA,0.724304649,0
1,3,40.38063486,1986,113.8655274,164.660476,41.83547406,0.860703436,1
1,4,40.38063486,1986,108.7796925,168.0355001,54.47972418,0.993368497,1
1,5,40.38063486,1986,NA,NA,NA,0.996979367,0
1,1,40.38063486,1988,112.3734413,166.9104307,54.26847738,0.99700952,1
1,2,40.38063486,1988,NA,NA,NA,0.7669473,0
1,3,40.38063486,1988,112.6883222,169.6239999,39.83405636,0.775490899,1
1,4,40.38063486,1988,109.6841789,165.1809706,46.28209614,0.918771602,1
1,5,40.38063486,1988,NA,NA,NA,0.991230591,0
1,1,40.38063486,1990,110.3296787,172.2492815,51.50310586,0.993525042,1
1,2,40.38063486,1990,NA,NA,NA,0.877858021,0
1,3,40.38063486,1990,109.1589994,168.9579049,36.87980716,0.622982181,1
1,4,40.38063486,1990,107.7517902,168.6447349,50.14174843,0.972544727,1
1,5,40.38063486,1990,NA,NA,NA,0.990367452,0
1,1,40.38063486,1992,111.4911761,169.710941,55.86826841,0.998397497,1
1,2,40.38063486,1992,NA,NA,NA,0.604736295,0
1,3,40.38063486,1992,110.4376931,169.4995766,36.60942388,0.607537723,0
1,4,40.38063486,1992,109.2958556,167.22154,47.935091,0.938410482,1
1,5,40.38063486,1992,NA,NA,NA,0.977557956,0
